place_fips,place_name,latitude,longitude,coordinates
41086,La Loma de Falcon,26.5368333,-99.0959586,"(+26.5368333, -099.0959586)"
41180,La Moca Ranch,27.9032086,-99.5104968,"(+27.9032086, -099.5104968)"
41416,La Paloma,26.0519621,-97.6552525,"(+26.0519621, -097.6552525)"
41542,Lasana,26.2596126,-97.6933643,"(+26.2596126, -097.6933643)"
41728,Laureles,26.1197036,-97.48918,"(+26.1197036, -097.4891800)"
44344,Lozano,26.1895902,-97.5437297,"(+26.1895902, -097.5437297)"
41422,La Paloma-Lost Creek,27.71954,-97.7392039,"(+27.7195400, -097.7392039)"
41452,La Pryor,28.9490574,-99.8479178,"(+28.9490574, -099.8479178)"
41475,Laredo Ranchettes West,27.4900378,-99.3701427,"(+27.4900378, -099.3701427)"
41503,La Rosita,26.4016822,-98.9320998,"(+26.4016822, -098.9320998)"
41548,Lasara,26.4637886,-97.9087127,"(+26.4637886, -097.9087127)"
41566,Las Lomas,26.3638314,-98.774649,"(+26.3638314, -098.7746490)"
41782,La Victoria,26.3477915,-98.629488,"(+26.3477915, -098.6294880)"
44044,Los Alvarez,26.3859365,-98.8990359,"(+26.3859365, -098.8990359)"
41582,Las Pilas,27.6814631,-99.1832346,"(+27.6814631, -099.1832346)"
42616,Liberty City,32.4517959,-94.9429756,"(+32.4517959, -094.9429756)"
42874,Lindsay,31.3688597,-103.5384411,"(+31.3688597, -103.5384411)"
42916,Linn,26.5633364,-98.1288673,"(+26.5633364, -098.1288673)"
42952,Lipscomb,36.2214909,-100.2621066,"(+36.2214909, -100.2621066)"
43432,Lolita,28.8324826,-96.5387825,"(+28.8324826, -096.5387825)"
43460,Loma Linda,28.0070113,-97.4994019,"(+28.0070113, -097.4994019)"
43960,Lopeño,26.7118337,-99.1009655,"(+26.7118337, -099.1009655)"
47406,Medina,26.9350786,-99.2644191,"(+26.9350786, -099.2644191)"
43972,Lopezville,26.245288,-98.1537015,"(+26.2452880, -098.1537015)"
44038,Los Altos,27.4904905,-99.3858233,"(+27.4904905, -099.3858233)"
44110,Los Ebanos,26.4113127,-98.9185814,"(+26.4113127, -098.9185814)"
44104,Los Ebanos,26.2396709,-98.5521906,"(+26.2396709, -098.5521906)"
48272,Midway North,26.1871955,-98.0188921,"(+26.1871955, -098.0188921)"
44162,Lost Creek,30.3022369,-97.8497807,"(+30.3022369, -097.8497807)"
44284,Loving,33.2578147,-98.5219269,"(+33.2578147, -098.5219269)"
45444,McCaulley,32.7793407,-100.206747,"(+32.7793407, -100.2067470)"
45750,McKinney Acres,32.2963336,-102.5297798,"(+32.2963336, -102.5297798)"
45816,McLeod,32.9455122,-94.0776617,"(+32.9455122, -094.0776617)"
45948,McQueeney,29.6004532,-98.047576,"(+29.6004532, -098.0475760)"
46080,Magnolia Beach,28.5604613,-96.5495851,"(+28.5604613, -096.5495851)"
47100,Mauriceville,30.2310449,-93.8714784,"(+30.2310449, -093.8714784)"
48048,Midfield,28.9402833,-96.2133536,"(+28.9402833, -096.2133536)"
48280,Midway South,26.1568439,-98.0214143,"(+26.1568439, -098.0214143)"
48320,Mila Doce,26.2224443,-97.9599359,"(+26.2224443, -097.9599359)"
48756,Mirando City,27.4400955,-99.0006212,"(+27.4400955, -099.0006212)"
49080,Monte Alto,26.374373,-97.9727241,"(+26.3743730, -097.9727241)"
49224,Moore,29.0579057,-99.0058005,"(+29.0579057, -099.0058005)"
49300,Moraida,26.4148445,-98.9767435,"(+26.4148445, -098.9767435)"
49314,Morales-Sanchez,26.7876162,-99.1146885,"(+26.7876162, -099.1146885)"
49440,Morse,36.0659604,-101.4769245,"(+36.0659604, -101.4769245)"
49512,Mosheim,31.6325853,-97.5997113,"(+31.6325853, -097.5997113)"
49572,Mound,31.3504752,-97.6431158,"(+31.3504752, -097.6431158)"
50220,Myra,33.6239682,-97.3147012,"(+33.6239682, -097.3147012)"
50232,Myrtle Springs,32.6240952,-95.9364063,"(+32.6240952, -095.9364063)"
50268,Nada,29.4155108,-96.3785722,"(+29.4155108, -096.3785722)"
50322,Narciso Pena,26.3018703,-98.6406957,"(+26.3018703, -098.6406957)"
50924,New Falcon,26.6383376,-99.0947472,"(+26.6383376, -099.0947472)"
51384,New Ulm,29.8830393,-96.4959902,"(+29.8830393, -096.4959902)"
51552,Nina,26.2811339,-98.5809883,"(+26.2811339, -098.5809883)"
51654,Nocona Hills,33.8485647,-97.6348899,"(+33.8485647, -097.6348899)"
51828,Normandy,28.9098703,-100.5980459,"(+28.9098703, -100.5980459)"
51852,Normanna,28.5276555,-97.7830404,"(+28.5276555, -097.7830404)"
52404,North San Pedro,27.8026628,-97.6820083,"(+27.8026628, -097.6820083)"
52992,Oakhurst,30.7400316,-95.3114486,"(+30.7400316, -095.3114486)"
53004,Oak Island,29.6628668,-94.6880936,"(+29.6628668, -094.6880936)"
53556,Oilton,27.4692694,-98.9672367,"(+27.4692694, -098.9672367)"
53616,Oklaunion,34.1294309,-99.1441959,"(+34.1294309, -099.1441959)"
53946,Olivia Lopez de Gutierrez,26.3276253,-98.7166848,"(+26.3276253, -098.7166848)"
53964,Olmito,26.0275927,-97.540059,"(+26.0275927, -097.5400590)"
53970,Olmito and Olmito,26.3400108,-98.6419713,"(+26.3400108, -098.6419713)"
54186,Orason,26.0742567,-97.4458427,"(+26.0742567, -097.4458427)"
54509,Owl Ranch,27.8927353,-98.0934477,"(+27.8927353, -098.0934477)"
54558,Pablo Pena,26.303675,-98.6405053,"(+26.3036750, -098.6405053)"
54666,Paisano Park,28.0950747,-97.8592073,"(+28.0950747, -097.8592073)"
54748,Palmer,26.0667565,-97.6350004,"(+26.0667565, -097.6350004)"
54846,Palo Blanco,26.3875702,-98.9024039,"(+26.3875702, -098.9024039)"
54868,Paloma Creek,33.2253361,-96.9369975,"(+33.2253361, -096.9369975)"
54876,Palo Pinto,32.7735569,-98.3020416,"(+32.7735569, -098.3020416)"
56252,Pawnee,28.6483458,-98.0082841,"(+28.6483458, -098.0082841)"
56462,Pecan Acres,32.9678723,-97.4790293,"(+32.9678723, -097.4790293)"
56482,Pecan Grove,29.623646,-95.7319178,"(+29.6236460, -095.7319178)"
56644,Pena,26.4155133,-98.9699787,"(+26.4155133, -098.9699787)"
56660,Pendleton,31.1955758,-97.3242343,"(+31.1955758, -097.3242343)"
56804,Perezville,26.2455929,-98.4023954,"(+26.2455929, -098.4023954)"
56864,Perrin,33.0345822,-98.0687838,"(+33.0345822, -098.0687838)"
57128,Petty,33.6054055,-95.8034193,"(+33.6054055, -095.8034193)"
57494,Pinebrook,30.3126392,-95.8765046,"(+30.3126392, -095.8765046)"
58232,Pleasant Hill,31.0022715,-94.7920744,"(+31.0022715, -094.7920744)"
58436,Plum,29.9323336,-96.981229,"(+29.9323336, -096.9812290)"
58928,Port Mansfield,26.5694067,-97.442394,"(+26.5694067, -097.4423940)"
59216,Praesel,30.6314874,-97.028281,"(+30.6314874, -097.0282810)"
59528,Priddy,31.6760424,-98.5113681,"(+31.6760424, -098.5113681)"
59794,Pueblo East,27.6748293,-99.1896479,"(+27.6748293, -099.1896479)"
59798,Pueblo Nuevo,27.4939075,-99.3098819,"(+27.4939075, -099.3098819)"
60020,Quail,34.9144192,-100.3809132,"(+34.9144192, -100.3809132)"
60098,Quesada,26.2814784,-98.5819938,"(+26.2814784, -098.5819938)"
60290,Rafael Pena,26.3009455,-98.6408697,"(+26.3009455, -098.6408697)"
60380,Ramireno,27.0128832,-99.3775448,"(+27.0128832, -099.3775448)"
60408,Ramirez-Perez,26.3165314,-98.6933401,"(+26.3165314, -098.6933401)"
60422,Ramos,26.4279962,-99.0269805,"(+26.4279962, -099.0269805)"
60458,Ranchette Estates,26.4844038,-97.822033,"(+26.4844038, -097.8220330)"
60478,Ranchitos del Norte,26.4003514,-98.8714921,"(+26.4003514, -098.8714921)"
60480,Ranchitos East,27.4906763,-99.3667433,"(+27.4906763, -099.3667433)"
60482,Ranchitos Las Lomas,27.6346021,-99.2364546,"(+27.6346021, -099.2364546)"
60529,Rancho Banquete,27.8093944,-97.8454856,"(+27.8093944, -097.8454856)"
60554,Rancho Viejo,26.414259,-98.9158838,"(+26.4142590, -098.9158838)"
60932,Realitos,27.4454156,-98.5301561,"(+27.4454156, -098.5301561)"
61040,Redfield,31.679084,-94.6629355,"(+31.6790840, -094.6629355)"
61124,Redland,31.4059366,-94.7160759,"(+31.4059366, -094.7160759)"
61280,Red Rock,29.9599382,-97.4427935,"(+29.9599382, -097.4427935)"
